datetime,lat,lon,county,state,hail_size,hail,temp_2m,dewpoint_2m,rh,wind_10m,wind_100m,shear,wind_max,precipitation,pressure,cloudcover,month,hour,prob_twin,prob_xgb
2023-04-20 22:05:00,29.87,-99.76,REAL,TEXAS,1.75,1,19.5,19.3,98,11.8,20.8,9.0,20.8,0.0,940.7,100,4,22,0.029,0.013658949173986912
2023-06-08 17:45:00,29.5218,-95.0769,GALVESTON,TEXAS,1.0,1,24.4,22.5,89,11.1,14.3,3.200000000000001,14.3,8.4,1009.5,100,6,17,0.109,0.014788164757192135
2023-06-26 07:35:00,33.38,-94.22,BOWIE,TEXAS,1.25,1,27.0,23.5,81,2.3,5.8,3.5,5.8,0.0,1000.9,45,6,7,0.145,0.018397772684693336
2023-03-02 03:49:00,29.81,-98.08,COMAL,TEXAS,1.0,1,20.5,20.0,97,13.7,22.7,9.0,22.7,0.0,975.9,100,3,3,0.029,0.012003092095255852
2023-04-02 19:55:00,32.8007,-94.5499,MARION,TEXAS,1.0,1,18.6,17.9,95,11.9,22.2,10.299999999999999,22.2,3.9,997.1,96,4,19,0.047,0.013658949173986912
2023-06-13 17:48:00,35.92,-101.46,HUTCHINSON,TEXAS,1.75,1,24.6,14.9,54,19.9,25.0,5.100000000000001,25.0,0.0,896.7,30,6,17,0.364,0.013658949173986912
2023-04-26 21:43:00,30.7,-97.92,WILLIAMSON,TEXAS,1.0,1,18.1,16.0,88,16.2,26.4,10.2,26.4,21.4,972.2,100,4,21,0.138,0.013658949173986912
2023-06-02 15:39:00,32.26,-102.78,ANDREWS,TEXAS,2.0,1,28.3,13.1,39,24.9,31.1,6.200000000000003,31.1,0.0,899.8,18,6,15,0.489,0.013658949173986912
2023-06-12 20:36:00,32.36,-97.9,HOOD,TEXAS,1.75,1,27.1,20.6,68,22.4,31.6,9.200000000000003,31.6,0.0,974.2,55,6,20,0.281,0.012774139642715454
2023-06-13 10:50:00,32.89,-94.85,UPSHUR,TEXAS,1.75,1,21.2,20.3,95,8.0,12.3,4.300000000000001,12.3,0.2,1000.5,100,6,10,0.03,0.012003092095255852
2023-03-16 18:31:00,32.53,-95.71,VAN ZANDT,TEXAS,1.0,1,18.5,17.6,95,17.3,26.4,9.099999999999998,26.4,0.3,986.8,100,3,18,0.03,0.013658949173986912
2023-05-06 15:37:00,31.84,-99.58,COLEMAN,TEXAS,1.25,1,30.0,14.9,40,18.4,23.4,5.0,23.4,0.0,947.1,100,5,15,0.448,0.013658949173986912
2023-03-24 00:42:00,33.71,-96.9,GRAYSON,TEXAS,1.0,1,21.4,18.2,82,19.8,35.1,15.3,35.1,0.0,981.8,100,3,0,0.152,0.04376458376646042
2023-05-19 16:36:00,32.03,-97.42,HILL,TEXAS,1.0,1,29.2,21.2,62,8.3,10.7,2.3999999999999986,10.7,0.0,990.9,76,5,16,0.3,0.014788164757192135
2023-09-19 17:33:00,34.2955,-99.7556,HARDEMAN,TEXAS,1.75,1,31.3,13.8,34,12.1,15.3,3.200000000000001,15.3,0.2,954.1,7,9,17,0.482,0.013658949173986912
2023-06-11 19:29:00,33.04,-96.98,DENTON,TEXAS,2.5,1,26.8,22.9,79,11.4,27.7,16.299999999999997,27.7,0.0,991.0,73,6,19,0.174,0.05357947200536728
2023-05-19 16:24:00,31.24,-99.14,MCCULLOCH,TEXAS,1.25,1,31.7,17.8,43,7.2,8.7,1.4999999999999991,8.7,0.0,958.6,67,5,16,0.425,0.012774139642715454
2023-06-11 19:54:00,33.09,-96.9,DENTON,TEXAS,1.25,1,25.7,22.6,83,14.1,33.4,19.299999999999997,33.4,0.0,989.6,67,6,19,0.146,0.07014887779951096
2023-05-28 16:49:00,36.08,-101.44,HANSFORD,TEXAS,2.0,1,26.1,13.9,47,14.9,18.3,3.4000000000000004,18.3,0.0,904.7,26,5,16,0.397,0.013658949173986912
2023-06-21 19:15:00,34.02,-100.82,MOTLEY,TEXAS,4.5,1,31.3,18.9,48,19.8,26.4,6.599999999999998,26.4,0.1,927.8,64,6,19,0.43,0.012774139642715454
2023-03-08 16:20:00,33.2,-98.76,YOUNG,TEXAS,0.75,1,12.9,5.7,61,11.3,13.8,2.5,13.8,0.0,978.4,100,3,16,0.266,0.003378035966306925
2023-06-12 21:05:00,32.48,-97.49,JOHNSON,TEXAS,1.75,1,25.8,21.0,75,14.8,24.5,9.7,24.5,0.0,977.0,37,6,21,0.204,0.012774139642715454
